,Date,TotalPrice
237,2011-09-22,50987.49
238,2011-09-23,26930.69
239,2011-09-25,27079.621
240,2011-09-26,26999.091
241,2011-09-27,26042.33
242,2011-09-28,32524.24
243,2011-09-29,39649.02
244,2011-09-30,34802.61
245,2011-10-02,10419.28
246,2011-10-03,46571.8
247,2011-10-04,33359.41
248,2011-10-05,58510.41
249,2011-10-06,52487.72
250,2011-10-07,45397.22
251,2011-10-09,10952.85
252,2011-10-10,38134.71
253,2011-10-11,41258.56
254,2011-10-12,22982.35
255,2011-10-13,28285.14
256,2011-10-14,26800.5
257,2011-10-16,20128.65
258,2011-10-17,41592.12
259,2011-10-18,32125.09
260,2011-10-19,33380.61
261,2011-10-20,52215.19
262,2011-10-21,54770.92
263,2011-10-23,10857.66
264,2011-10-24,33586.61
265,2011-10-25,32297.96
266,2011-10-26,28499.62
267,2011-10-27,50511.770000000004
268,2011-10-28,30517.63
269,2011-10-30,29385.76
270,2011-10-31,29542.81
271,2011-11-01,25951.68
272,2011-11-02,34519.87
273,2011-11-03,51813.87
274,2011-11-04,46220.62
275,2011-11-06,37854.91
276,2011-11-07,25206.4
277,2011-11-08,34361.590000000004
278,2011-11-09,52014.24
279,2011-11-10,62048.17
280,2011-11-11,31955.4
281,2011-11-13,25338.82
282,2011-11-14,50387.02
283,2011-11-15,41108.6
284,2011-11-16,42410.76
285,2011-11-17,48082.95
286,2011-11-18,32032.95
287,2011-11-20,26401.35
288,2011-11-21,37934.42
289,2011-11-22,43610.28
290,2011-11-23,59713.05
291,2011-11-24,33028.96
292,2011-11-25,23248.14
293,2011-11-27,15525.46
294,2011-11-28,45179.81
295,2011-11-29,44590.74
296,2011-11-30,34722.39
297,2011-12-01,38903.85
298,2011-12-02,39071.55
299,2011-12-04,17951.43
300,2011-12-05,52393.63
301,2011-12-06,41613.89
302,2011-12-07,61909.57
303,2011-12-08,39511.61
304,2011-12-09,182506.98
